file	beg	end	text	speaker
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	0.52	1.08	Science	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	1.08	1.24	is	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	1.24	1.92	keeping,	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	2.8	3.28	work	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	3.32	3.52	is	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	3.52	4.0	reaping.	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.44	5.56	To	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.56	5.72	be	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.72	6.32	decorous	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.32	6.48	is	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.48	6.76	not	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.76	6.88	to	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.88	7.0	be	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	7.0	7.96	formalistic.	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	8.52	8.64	The	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	8.64	9.04	first	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.04	9.24	may	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.24	9.6	simply	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.6	9.76	be	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.76	10.12	showing	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	10.12	10.92	sensitivity	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	10.92	11.08	to	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.08	11.16	a	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.16	11.6	formal	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.6	12.4	context.	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	12.64	12.72	The	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	12.72	13.36	second	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	13.6	14.04	creates	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	14.04	14.08	a	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	14.08	14.88	context.	
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	15.96	16.16	In	
