file	beg	end	text
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	0.0	0.61	It'll
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	0.61	0.92	tell
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	0.92	1.47	you
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	1.47	1.7	a
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	1.7	2.33	little
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.33	2.7	bit
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.7	4.52	about
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	4.52	6.5	when
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.5	6.64	I
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.64	6.84	come
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.84	7.01	up
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	7.01	7.52	against
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	7.52	8.28	impediments,
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	8.28	10.04	which
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.04	10.14	is
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.14	10.62	often,
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.62	10.8	and
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.8	11.16	then
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	11.16	11.52	what
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	11.52	11.61	I
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	11.61	11.79	do
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	11.79	12.55	about
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	12.55	12.78	them,
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	12.78	12.96	or
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	12.96	13.14	at
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	13.14	13.65	least
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	13.65	13.86	how
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	13.86	14.02	I
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	14.02	14.22	did
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	14.22	14.67	about
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	14.67	15.21	them
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	15.21	15.27	in
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	15.27	15.57	this
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	15.57	16.22	case.
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	16.22	16.35	I
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	16.35	17.17	hadn't
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	17.17	18.13	written
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	18.13	18.54	for
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	18.54	18.67	a
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	18.67	19.22	long
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	19.22	19.89	time,
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	19.89	20.58	and
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	20.58	20.58	I
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	20.58	21.28	wrote
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	21.28	21.41	a
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	21.41	22.34	thing,
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	22.34	22.47	a
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	22.47	23.28	text,
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	23.28	23.97	words
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	23.97	24.24	on
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	24.24	24.37	a
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	24.37	25.49	page,
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	25.49	25.6	and
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	25.6	25.88	I
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	25.88	26.06	thought
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	26.06	26.26	it
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	26.26	26.57	was
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	26.57	27.7	appalling,
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	27.7	28.11	sort
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	28.11	28.31	of
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	28.31	28.72	dead
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	28.72	29.03	and
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	29.03	30.73	uninteresting,
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	30.73	30.88	and
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	30.88	31.25	I'm
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	31.25	31.59	sort
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	31.59	31.79	of
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	31.79	32.62	insulted
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	32.62	32.85	by
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	32.85	33.26	all
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	33.26	33.42	this
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	33.42	34.62	reference
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	34.62	34.79	to
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	34.79	35.47	nature,
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	35.47	35.88	which
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	35.88	36.48	doesn't
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	36.48	36.82	seem
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	36.82	36.99	to
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	36.99	37.16	be
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	37.16	37.5	very
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	37.5	38.43	appropriate
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	38.43	39.19	anymore,
