file	beg	end	text	speaker	section
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.071	5.03	Shaking it, I look at your watch, which is white Roman numerals on a black face, ((I past I))	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	5.24	9.18	The magazine trembles at your elbow and a bright yellow card falls to the floor.	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	9.54	13.529	Picking it up with my left hand I read, what you have in your right hand is an umbrella.	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	20.08	20.624	Float.	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	21.61	24.72	((Well)) (()) ((explain how)) time acts in a poetry reading.	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	24.94	32.076	Strange time ((freaks)) attend them, wallowing in seconds becoming hours, hours becoming limping treks across a desert ((life)) without water.	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	32.38	40.07	((The)) poetry (()) becoming almost totally uninteresting and the only fragment of interest left is that which the color and smell of gangrene has for a connoisseur	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	64.843	65.92	Over noise.	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	67.36	78.62	Every second brought beauty, before vegetables, before ancestors, thought grew thinner, everywhere except in pressed tales, thought that changed, regulated loose connections, losing slices of purity,	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	79.53	89.795	Characters crowded forests of ((moss)) ((stamped skill)) with certainty, a bird joined dry bones of puppet regimes ((off road,)) people remain afraid within prisons of perception, without water.	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	90.06	91.924	All dissipates into noise.	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	96.83	100.19	Thor Heyerdahl solved the mystery of the statues, that wasn't the mystery.	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	101.36	103.77	True ((sights)) of the enemy is not you. 	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	104.31	106.51	Noble journeys into the unmapped,	Speaker1	
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	106.96	109.16	I mean the boredom of a (())	Speaker1	
