file	beg	end	text
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.0	0.56	Cries
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.56	0.74	of
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.74	0.94	love
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	0.94	1.06	and
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.06	1.42	alarm
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.42	1.62	on
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.62	1.72	the
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	1.72	2.26	soundtrack
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	2.26	2.98	fade
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	2.98	3.38	into
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.38	3.56	an
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.56	3.82	air
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	3.82	4.06	-raid
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	4.06	4.58	siren,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	4.88	5.22	factory
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	5.22	5.62	whistle,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	5.8	6.08	or
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.08	6.26	is
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.26	6.36	it
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.36	6.48	the
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.48	6.76	whistle
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.76	6.94	of
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	6.94	7.04	a
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	7.04	7.32	train
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	7.32	7.86	approaching?
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	8.06	8.66	We
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	8.66	9.0	are
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	9.0	9.34	as
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	9.34	9.76	real
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	9.76	10.2	and
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	10.2	10.64	near
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	10.64	11.2	as
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	11.2	11.62	cinema.
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	12.440000000000001	13.18	A
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	13.18	13.42	little
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	13.42	13.76	girl,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	13.94	14.08	half
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	14.08	14.46	-turned
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	14.46	14.78	-away,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	14.98	15.34	holding
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	15.34	15.58	her
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	15.58	15.88	doll
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	15.88	16.36	smiles
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	16.36	16.9	shyly.
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	17.12	17.48	When
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	17.48	17.62	the
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	17.62	18.14	ambiguous
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	18.14	18.7	siren
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	18.7	18.94	or
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	18.94	19.38	engine
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	19.38	19.82	wails
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	19.82	20.04	its
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	20.04	20.44	warning,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	20.74	20.92	she
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	20.92	21.3	turns
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	21.3	21.92	directly
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	21.92	22.5	towards
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	22.5	22.74	the
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	22.74	23.2	camera.
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	23.58	24.08	Medium
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	24.08	24.48	close
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	24.48	24.8	-up,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	24.92	25.14	her
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	25.14	25.74	expression
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	25.74	26.22	changing
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	26.22	26.44	to
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	26.44	26.58	a
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	26.58	26.92	mixture
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	26.92	27.14	of
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	27.14	27.86	astonishment
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	27.86	28.18	or
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	28.18	28.6	terror.
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	28.88	29.2	This
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	29.2	29.66	child
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	29.66	30.3	isn't
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	30.3	30.78	acting.
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	31.22	31.74	Perhaps
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	31.74	32.02	she
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	32.02	32.42	knows
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	32.42	32.8	what
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	32.8	32.96	the
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	32.96	33.18	young
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	33.18	33.66	actor
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	33.66	33.94	in
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	33.94	34.38	Ivan's
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	34.38	34.88	childhood
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	34.88	35.76	pretends
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	35.76	36.12	he
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	36.12	36.6	knows.
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	36.76	37.1	Her
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	37.1	37.44	look
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	37.44	38.18	pierces
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	38.18	38.4	the
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	38.4	38.88	mask
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	38.88	39.32	of
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	39.32	39.74	Western
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	39.74	40.34	culture.
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	41.160000000000004	41.82	Almost
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	41.82	42.2	40
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	42.2	42.48	years
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	42.48	42.86	later,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	43.06	43.28	in
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	43.28	43.58	June
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	43.58	44.42	1972,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	45.16	45.36	a
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	45.36	46.02	terrified
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	46.02	46.68	Fon
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	46.68	46.96	Thi
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	46.96	47.4	Khin,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	47.46	48.1	napalmed
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	48.1	48.24	in
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	48.24	48.58	error
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	48.58	48.82	by
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	48.82	49.0	a
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	49.0	49.24	South
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	49.24	49.78	Vietnamese
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	49.78	50.32	bomber,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	50.76	50.94	will
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	50.94	51.16	come
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	51.16	51.56	running
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	51.56	51.98	naked
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	51.98	52.26	down
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	52.26	52.48	a
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	52.48	52.74	road,
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	53.04	53.26	having
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	53.26	53.62	torn
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	53.62	53.98	off
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	53.98	54.16	her
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	54.16	54.52	burning
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	54.52	55.02	clothing.
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	55.3	55.62	She
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	55.62	55.82	is
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	55.82	56.26	running
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	56.26	56.88	towards
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	56.88	57.08	the
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	57.08	57.74	camera's
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	57.74	58.4	single
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	58.4	58.92	eye.
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	60.239999999999995	61.04	A
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	61.04	61.36	man
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	61.36	61.64	without
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	61.64	62.26	wings
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	62.26	62.9	swings
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	62.9	63.66	slantingly
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	63.66	63.92	into
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	63.92	64.36	view
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	64.36	64.84	through
Howe-Susan_04_Complete-Reading_SUNY-Buffalo_11-6-94	64.84	65.34	free
